table,row,rule_id,issue,root_cause,impact,remediation,priority
customers,0,C01,Missing customer ID,Source system missing mandatory customer identifier,Customer record cannot be uniquely identified,Populate customer ID from source system and enforce mandatory field validation,High
customers,3,C02,Duplicate customer ID,Duplicate customer identifier generated or received from source,Duplicate customer records may cause incorrect account relationships,Identify duplicate source records and retain the approved master customer record,High
customers,4,C02,Duplicate customer ID,Duplicate customer identifier generated or received from source,Duplicate customer records may cause incorrect account relationships,Identify duplicate source records and retain the approved master customer record,High
customers,1,C03,Missing email,Mandatory email field missing in source data,Customer contact information is incomplete,Retrieve missing email from source system or business owner,Medium
customers,2,C04,Invalid email format,Email value does not follow expected format,Invalid customer contact information,Correct email format and implement format validation in source system,Medium
customers,5,C05,Future created date,Incorrect or future date received from source system,Customer lifecycle timeline becomes unreliable,Correct source date and enforce date range validation,High
accounts,0,A01,Missing customer ID,Account record missing mandatory customer reference,Account cannot be linked to a customer,Populate customer ID and enforce mandatory relationship validation,High
accounts,4,A02,Duplicate account ID,Duplicate account identifier generated or received from source,Multiple records may represent the same financial account,Identify duplicate accounts and retain the approved account record,High
accounts,5,A02,Duplicate account ID,Duplicate account identifier generated or received from source,Multiple records may represent the same financial account,Identify duplicate accounts and retain the approved account record,High
accounts,7,A03,Invalid customer reference,Customer reference does not exist in valid customer dataset,Broken customer-to-account relationship,Correct customer reference or exclude account until valid parent record is available,High
accounts,44,A03,Invalid customer reference,Customer reference does not exist in valid customer dataset,Broken customer-to-account relationship,Correct customer reference or exclude account until valid parent record is available,High
accounts,104,A03,Invalid customer reference,Customer reference does not exist in valid customer dataset,Broken customer-to-account relationship,Correct customer reference or exclude account until valid parent record is available,High
accounts,1,A04,Negative account balance,Invalid negative balance received from source,Financial reporting may be inaccurate,Investigate source balance and apply approved financial correction,High
accounts,2,A05,Invalid currency,Currency value is outside the approved domain,Financial transactions may be incorrectly interpreted,Map currency to approved ISO currency code,Medium
accounts,3,A06,Invalid account type,Account type does not match approved business values,Account classification becomes inconsistent,Map account type to approved business domain,Medium
accounts,6,A07,Future account opening date,Invalid future account opening date,Account lifecycle information becomes inaccurate,Correct date using source system verification,High
transactions,0,T01,Missing account ID,Transaction missing mandatory account reference,Transaction cannot be linked to an account,Populate account ID or reject transaction until relationship is resolved,High
transactions,5,T02,Duplicate transaction ID,Duplicate transaction identifier generated or received from source,Transaction may be counted multiple times,Identify duplicate transactions and retain approved transaction record,High
transactions,6,T02,Duplicate transaction ID,Duplicate transaction identifier generated or received from source,Transaction may be counted multiple times,Identify duplicate transactions and retain approved transaction record,High
transactions,88,T03,Invalid account reference,Account reference does not exist in valid account dataset,Broken transaction-to-account relationship,Correct account reference or exclude transaction until valid account is available,High
transactions,103,T03,Invalid account reference,Account reference does not exist in valid account dataset,Broken transaction-to-account relationship,Correct account reference or exclude transaction until valid account is available,High
transactions,322,T03,Invalid account reference,Account reference does not exist in valid account dataset,Broken transaction-to-account relationship,Correct account reference or exclude transaction until valid account is available,High
transactions,1,T04,Transaction amount must be greater than zero,Transaction amount is zero or negative,Transaction value is invalid for migration,Verify transaction amount with source system and correct invalid value,High
transactions,2,T04,Transaction amount must be greater than zero,Transaction amount is zero or negative,Transaction value is invalid for migration,Verify transaction amount with source system and correct invalid value,High
transactions,3,T05,Invalid currency,Currency value is outside the approved domain,Transaction currency cannot be interpreted correctly,Map currency to approved ISO currency code,Medium
transactions,4,T06,Invalid transaction type,Transaction type does not match approved business values,Transaction classification becomes inconsistent,Map transaction type to approved business domain,Medium
transactions,7,T07,Future transaction date,Future transaction date received from source,Transaction timeline becomes inaccurate,Verify and correct transaction date,High
transactions,8,T08,Invalid transaction status,Transaction status does not match approved business values,Transaction processing state is inconsistent,Map status to approved transaction status,Medium
